username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
VickyDamota2|2018-10-08 01:59|0|0|#himtoo|||#himtoo|1049086854266421248|https://twitter.com/VickyDamota2/status/1049086854266421248
jl2party|2018-10-08 01:59|0|1|Angry? Stop stereotyping. Not all women agree with you. #himtoo #IStandWithBrett|||#himtoo #IStandWithBrett|1049086810213691394|https://twitter.com/jl2party/status/1049086810213691394
mark35806|2018-10-08 01:59|0|1|winning is awesoem! #justicekavanaugh #himtoo #maga|||#justicekavanaugh #himtoo #maga|1049086779192750081|https://twitter.com/mark35806/status/1049086779192750081
witrayler|2018-10-08 01:56|0|0|Wake Up!! #DEPLORABLEDREGS #2018MidTermElections are important! #GetMadStayMad #TurnTheHeatUp #MAGA . It's up to us to protect the #Constitution and #RuleOfLaw #VoteDemsOut #KeepTheHouseAndSenate #InnocentUntilProvenGilty #HimToo #MegaRedVoterTurnOut https://www. yahoo.com/newsroom/vibes /politics/v-dbb2094c-7d9a-37c0-96b9-7f844af62e78_c-0bb7d78f-a3b9-3d9d-b957-0578e6dbe593_a-74c7918a-3d70-347f-8a95-b79e0d81c500 …|||#DEPLORABLEDREGS #2018MidTermElections #GetMadStayMad #TurnTheHeatUp #MAGA #Constitution #RuleOfLaw #VoteDemsOut #KeepTheHouseAndSenate #InnocentUntilProvenGilty #HimToo #MegaRedVoterTurnOut|1049085998553030656|https://twitter.com/witrayler/status/1049085998553030656
theoriginalgooz|2018-10-08 01:53|0|0|Your presumption of guilt for #JusticeKavanaugh is insulting!!! Sen. Collins voiced what every freedom loving American was thinking. She did awesome! Your #Liberalagenda is falling apart. #MAGA #KeepAmericaGreat #Trump2020 #RedNationRising #RedWaveRising #HimToo|||#JusticeKavanaugh #Liberalagenda #MAGA #KeepAmericaGreat #Trump2020 #RedNationRising #RedWaveRising #HimToo|1049085298968317952|https://twitter.com/theoriginalgooz/status/1049085298968317952
jl2party|2018-10-08 01:52|0|0|Just showing your lies, the third women was proven not creditable. You owe Kavanaugh an apology for false accusations. #himtoo #IStandWithBrett|||#himtoo #IStandWithBrett|1049085105304530944|https://twitter.com/jl2party/status/1049085105304530944
theoriginalgooz|2018-10-08 01:50|0|0|No shocker here. Go check Ford's GoFundMe while you're at it. #FakeAccusations #FakeOutrage #JusticeKavanaugh #HimToo #MAGA #KeepAmericaGreat #Trump2020 #RedNationRising #RedWaveRising #WalkAway https:// twitter.com/FoxNews/status /1049083720299372544 …|||#FakeAccusations #FakeOutrage #JusticeKavanaugh #HimToo #MAGA #KeepAmericaGreat #Trump2020 #RedNationRising #RedWaveRising #WalkAway|1049084478553907201|https://twitter.com/theoriginalgooz/status/1049084478553907201
starlady24|2018-10-08 01:50|1|3|@TinaPirlot #Superman is correct. I believe Judge Kavanaugh. #StayMad #VoteRed #HimToo||@TinaPirlot|#Superman #StayMad #VoteRed #HimToo|1049084463802712065|https://twitter.com/starlady24/status/1049084463802712065
jl2party|2018-10-08 01:47|0|14|Today I’m left with happinesses that Innocent until Proven guilty still applies in America. I’m proud that men can no longer be falsely accused by women with no evidence or details of said assault. End the lies. #himtoo #IStandWithBrett|||#himtoo #IStandWithBrett|1049083937866145792|https://twitter.com/jl2party/status/1049083937866145792
bob_koeller|2018-10-08 01:47|0|0|wrongful convictions of any kind suck. many many of sexual crimes as well. do you believe Keith @keithellison accuser, matt lauer, harvery weistein, chuck schumer, bill clinton? many believe #HimToo - due process is the only way.||@keithellison|#HimToo|1049083794668572672|https://twitter.com/bob_koeller/status/1049083794668572672
LiberalsSuck321|2018-10-08 01:47|0|0|Facts: Christine Blasey Ford wasn't raped. Repeating what she stated in her own testimony isn't mocking her. The truth is so inconvenient for Liberals. #HimToo #MeToo #SCOTUS|||#HimToo #MeToo #SCOTUS|1049083764847120386|https://twitter.com/LiberalsSuck321/status/1049083764847120386
