username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;;;;
adr12528;21/09/2018 01:58;0;0;BS IF YOU ASK ANY RAPE VICTIM THEY REMEMBER EVERY GOD DAMN DETAIL! #MeTooLiars #HimToo;;;#MeTooLiars #HimToo;1,04293E+18;https://twitter.com/adr12528/status/1042925950168645632;;;;;
SharonS88589870;21/09/2018 01:45;0;0;"@DailyCaller @CNN @Morning_Joe @NPR @MSNBC @FoxNews I'm starting a #himtoo movement; if you have a father, husband, son, uncle, nephew, brother in your life, be afraid, be very afraid! What happened to #dueprocess ?";;@DailyCaller @CNN @Morning_Joe @NPR @MSNBC @FoxNews;#himtoo #dueprocess;1,04292E+18;https://twitter.com/SharonS88589870/status/1042922733544386560;;;;;
adr12528;21/09/2018 01:32;0;0;#MeTooLiars #HimToo https:// twitter.com/stilllearin/st atus/1042905212430766081 …;;;#MeTooLiars #HimToo;1,04292E+18;https://twitter.com/adr12528/status/1042919561056714752;;;;;
johnbeckham192;21/09/2018 01:24;0;0;I guess after this he will use the #himtoo and say a right winger groped him .;;;#himtoo;1,04292E+18;https://twitter.com/johnbeckham192/status/1042917526274039808;;;;;
Himtoo5;21/09/2018 01:21;2;7;#himtoo No Matter How You Feel Today, You Are Not Alone https:// twitter.com/MensLine_Aus/s tatus/1041932603157229568 …;;;#himtoo;1,04292E+18;https://twitter.com/Himtoo5/status/1042916711257661440;;;;;
Shadowcat22;21/09/2018 01:18;0;1;"@shamelessteas Ian Gallagher is the Perfect Poster Boy for the #HimToo Movement; Mandy Milkovich raped him First.";;@shamelessteas;#HimToo;1,04292E+18;https://twitter.com/Shadowcat22/status/1042915850951507968;;;;;
EntireGoat;21/09/2018 01:13;0;0;#HimToo pic.twitter.com/xAgZGZ1n43;;;#HimToo;1,04291E+18;https://twitter.com/EntireGoat/status/1042914712835575808;;;;;
EntireGoat;21/09/2018 01:11;0;0;#HimToo pic.twitter.com/NnWS9Gr7Kh;;;#HimToo;1,04291E+18;https://twitter.com/EntireGoat/status/1042914080086994944;;;;;
KimmieDee_;21/09/2018 00:36;0;0;Still on the fence?! #MeToo #HerToo #HimToo #FuckYou https://www. esquire.com/news-politics/ politics/a23336402/brett-kavanaugh-female-clerks-certain-look-yale/ …;;;#MeToo #HerToo #HimToo #FuckYou;1,04291E+18;https://twitter.com/KimmieDee_/status/1042905253270544384;;;;;
mrschase2009;21/09/2018 00:31;0;0;#HimToo;;;#HimToo;1,0429E+18;https://twitter.com/mrschase2009/status/1042904137082527744;;;;;
droid_ed;21/09/2018 00:23;0;0;#Minnesota #vote #KeithEllison #HimToo #metoo #democrat #dnc #BlueWave https:// twitter.com/Thomas1774Pain e/status/1042899976156852224 …;;;#Minnesota #vote #KeithEllison #HimToo #metoo #democrat #dnc #BlueWave;1,0429E+18;https://twitter.com/droid_ed/status/1042902082225876992;;;;;
BigMama279;20/09/2018 23:15;0;0;#HimToo Poor guy.;;;#HimToo;1,04288E+18;https://twitter.com/BigMama279/status/1042884872421998597;;;;;
AssassinGolf;20/09/2018 23:07;0;5;Him too? Yes, #himtoo #metoo #HillaryClinton #BillClinton pic.twitter.com/8auwUqGxKe;;;#himtoo #metoo #HillaryClinton #BillClinton;1,04288E+18;https://twitter.com/AssassinGolf/status/1042883082746056709;;;;;
NikkiCarruthers;20/09/2018 22:27;0;1;Follow the gay porn, find the truth. I’m sure the republicans will welcome him with open “Christian” arms. #himtoo @kathygriffin;;@kathygriffin;#himtoo;1,04287E+18;https://twitter.com/NikkiCarruthers/status/1042872948841959424;;;;;
salyers_maryana;20/09/2018 22:23;0;0;#HimToo;;;#HimToo;1,04287E+18;https://twitter.com/salyers_maryana/status/1042871817399095297;;;;;
adr12528;20/09/2018 21:22;0;0;#MeTooLiars #HimToo https:// twitter.com/michie12661/st atus/1042779058260471809 …;;;#MeTooLiars #HimToo;1,04286E+18;https://twitter.com/adr12528/status/1042856480779771906;;;;;
adr12528;20/09/2018 21:21;0;0;#MeTooLiars #HimToo https:// twitter.com/JMReflectionso f/status/1042818712355725312 …;;;#MeTooLiars #HimToo;1,04286E+18;https://twitter.com/adr12528/status/1042856170388643840;;;;;
SemperArgentum;20/09/2018 20:57;0;0;"#HimToo Details Surface of Sen. Cory Booker Molesting a Drunk Teenager; Spartacus’ Past Catches Up https:// truepundit.com/details-surfac e-of-cory-booker-molesting-a-drunk-teenager-spartacus-past-catches-up-with-pompous-senator/ …";;;#HimToo;1,04285E+18;https://twitter.com/SemperArgentum/status/1042850341702828033;;;;;
DagnyT2019;20/09/2018 20:32;2;1;Brian Banks should have been a great NFL player making millions of dollars & enjoying the fruits of his efforts he'd been working at since he was a kid, but a false allegation of rape robbed him of all of it. Read his story if you aren't familiar. #HimToo https:// en.wikipedia.org/wiki/Brian_Ban ks_(American_football) … https:// twitter.com/DagnyT2019/sta tus/1042842954006556672 …;;;#HimToo;1,04284E+18;https://twitter.com/DagnyT2019/status/1042843964296978432;;;;;
DagnyT2019;20/09/2018 20:28;3;3;"After being falsely accused of rape by a classmate, he spent more than five years in prison and five years on strict custody parole, but had his conviction overturned in 2012 after his accuser admitted she had fabricated the entire story."" #HimToo https:// en.wikipedia.org/wiki/Brian_Ban ks_(American_football) …""";;;#HimToo;1,04284E+18;https://twitter.com/DagnyT2019/status/1042842954006556672;;;;;
Titannup;20/09/2018 20:20;0;0;#himtoo https:// twitter.com/RepStevenSmith /status/1042839675956867072 …;;;#himtoo;1,04284E+18;https://twitter.com/Titannup/status/1042841060840488960;;;;;
24Liberty;20/09/2018 20:17;0;0;#HimToo #KavanaughConfirmation #ThursdayThoughts #ThursdayMotivation https:// twitter.com/SInow/status/1 042484287038283776 …;;;#HimToo #KavanaughConfirmation #ThursdayThoughts #ThursdayMotivation;1,04284E+18;https://twitter.com/24Liberty/status/1042840275830358016;;;;;
adr12528;20/09/2018 19:48;0;0;#HimToo #MeTooLiars https:// twitter.com/adr12528/statu s/1042832334112862208 …;;;#HimToo #MeTooLiars;1,04283E+18;https://twitter.com/adr12528/status/1042832782295277568;;;;;
jansonprague;20/09/2018 19:35;0;0;#RapistJudge #HimToo https:// twitter.com/TalbertSwan/st atus/1042795985439809536 …;;;#RapistJudge #HimToo;1,04283E+18;https://twitter.com/jansonprague/status/1042829603226767361;;;;;
SpeakeasyJames;20/09/2018 19:32;0;1;Indeed Hamp, when Justin Trudeau lies, he speaks in his native tongue. #SaveCanada #TrudeauGroper must go in 2019, yes #HimToo #cdnpoli #onpoli #bcpoli https:// twitter.com/CoyHamp/status /1042794243830554625 …;;;#SaveCanada #TrudeauGroper #HimToo #cdnpoli #onpoli #bcpoli;1,04283E+18;https://twitter.com/SpeakeasyJames/status/1042828755876556800;;;;;
adr12528;20/09/2018 19:15;0;0;#HimToo #metooliars Confirm @BrettKavanaugh @ChuckGrassley @SenateGOP;;@BrettKavanaugh @ChuckGrassley @SenateGOP;#HimToo #metooliars;1,04282E+18;https://twitter.com/adr12528/status/1042824541389692928;;;;;
peatapann;20/09/2018 18:21;1;0;Keep this in the foreground... they can't ignore it forever! #HimToo https:// twitter.com/SheriffClarke/ status/1042792113329655808 …;;;#HimToo;1,04281E+18;https://twitter.com/peatapann/status/1042811001727590400;;;;;
Mobfigure303;20/09/2018 18:06;0;0;#himtoo;;;#himtoo;1,04281E+18;https://twitter.com/Mobfigure303/status/1042807319053053953;;;;;
helen43walker;20/09/2018 17:47;2;4;Little Chrissy looks like she was quite the party girl! Sounds like that was when the #himtoo movement started with all of those aggressive girls.;;;#himtoo;1,0428E+18;https://twitter.com/helen43walker/status/1042802349641818113;;;;;
WhitzerzRaverz;20/09/2018 17:46;0;0;"[5/5] Wow --that's criminally outrageous and has to have been an absolutely horrible thing for you both then and ever since...and so tell me, my guy: why the hell did you wait for 30 years to say anything about it?!?"" #HimToo #AndOhTheStoriesHisOlLadyCouldTell""";;;#HimToo #AndOhTheStoriesHisOlLadyCouldTell;1,0428E+18;https://twitter.com/WhitzerzRaverz/status/1042802308340432897;;;;;
davidbr50132863;20/09/2018 17:34;0;1;#himtoo https:// twitter.com/w_terrence/sta tus/1042298525571330048 …;;;#himtoo;1,0428E+18;https://twitter.com/davidbr50132863/status/1042799048959381504;;;;;
FPB_YT;20/09/2018 17:09;0;0;Are you concerned about their wives or daughters? #kavanaugh #ConfirmKavanaugh #HimToo https:// twitter.com/EmilyLindin/st atus/933073784822579200 …;;;#kavanaugh #ConfirmKavanaugh #HimToo;1,04279E+18;https://twitter.com/FPB_YT/status/1042792898033401856;;;;;
FPB_YT;20/09/2018 17:04;0;0;Now do his wife and children. #kavanaugh #ConfirmKavanaugh #HimToo https:// twitter.com/EmilyLindin/st atus/933074980627030016 …;;;#kavanaugh #ConfirmKavanaugh #HimToo;1,04279E+18;https://twitter.com/FPB_YT/status/1042791535996071938;;;;;
FPB_YT;20/09/2018 16:53;0;0;This is what a gullible turd looks like. #kavanaugh #ConfirmKavanaugh #HimToo https:// twitter.com/HashtagGriswol d/status/1042774940288737280 …;;;#kavanaugh #ConfirmKavanaugh #HimToo;1,04279E+18;https://twitter.com/FPB_YT/status/1042788839452884992;;;;;
helen43walker;20/09/2018 16:50;0;11;If the shoe were on the other foot... #himtoo .....how would these women feel then?;;;#himtoo;1,04279E+18;https://twitter.com/helen43walker/status/1042788209162379265;;;;;
idiot252;20/09/2018 14:29;0;0;@DocThompsonShow @realKrisCruz I demand @realKrisCruz wedding be postponed until the FBI has a full investigation to comfirm he really is a man. #HimToo;;@DocThompsonShow @realKrisCruz @realKrisCruz;#HimToo;1,04275E+18;https://twitter.com/idiot252/status/1042752514859257856;;;;;
rumrot;20/09/2018 14:15;0;0;Breaking: #HimToo at the NYRB https://www. powerlineblog.com/archives/2018/ 09/breaking-himtoo-at-the-nyrb.php?utm_source=twitter&utm_medium=sw&utm_campaign=sw … via @powerlineUS;;@powerlineUS;#HimToo;1,04275E+18;https://twitter.com/rumrot/status/1042749155628605440;;;;;
former_lib;20/09/2018 12:29;0;0;Someone needs to #himtoo;;;#himtoo;1,04272E+18;https://twitter.com/former_lib/status/1042722496728969216;;;;;
SpeakeasyJames;20/09/2018 10:31;0;1;Act surprised. The dunce hat who claimed that budgets balance themselves has erred, or lied, about his disasterous vacay/junket to India. #SaveCanada dingle dance #TrudeauGroper must go in 2019, yes #HimToo #cdnpoli #onpoli #bcpoli https://www. cbc.ca/amp/1.4829121? __twitter_impression=true …;;;#SaveCanada #TrudeauGroper #HimToo #cdnpoli #onpoli #bcpoli;1,04269E+18;https://twitter.com/SpeakeasyJames/status/1042692743678517248;;;;;
anis_epis;20/09/2018 08:53;0;0;#Kavanaugh , il #MeToo arriva alla Corte Suprema. #ChristineBlaseyFord accusa di molestie sessuali il giudice scelto da Trump. Si sprecano i paralleli con Anita Hill che nel 1991 mise a rischio la nomina di uno dei nove giudici della Corte. #HimToo #USA https:// tg24.sky.it/mondo/2018/09/ 20/kavanaugh--il-metoo-arriva-alla-corte-suprema.amp.html?__twitter_impression=true … pic.twitter.com/Ge5hj3gW1A;;;#Kavanaugh #MeToo #ChristineBlaseyFord #HimToo #USA;1,04267E+18;https://twitter.com/anis_epis/status/1042668102121676800;;;;;
teresadassie;20/09/2018 08:38;0;0;Yes, #himtoo time to resign #Sparticus https:// twitter.com/gregory_cerge/ status/1042642415251730432 …;;;#himtoo #Sparticus;1,04266E+18;https://twitter.com/teresadassie/status/1042664201066622976;;;;;
ngatiskippy_mal;20/09/2018 08:25;0;0;Now Some folks are going to say, one WASP, dismissing a women’s accusation of rape, against another WASP, purely on the way the accused sounds, smacks of White Privilege... Maybe they should let this go Maybe he IS a good guy, like Flynn...? #himtoo WASP movement pic.twitter.com/ZmZSD8la6u;;;#himtoo;1,04266E+18;https://twitter.com/ngatiskippy_mal/status/1042660991593377792;;;;;
ShadoeDavis;20/09/2018 04:37;3;6;#lol #himtoo pic.twitter.com/2wDMrt1bxF;;;#lol #himtoo;1,0426E+18;https://twitter.com/ShadoeDavis/status/1042603737062223872;;;;;
A_C_Green88;20/09/2018 04:34;0;0;You know what didn’t age well? “Stacy’s Mom”. Congratulations Mrs Stacy’s Mom, you’ve committed statutory in 50 states and 16 outlying areas. #himtoo #yikes;;;#himtoo #yikes;1,0426E+18;https://twitter.com/A_C_Green88/status/1042602933379055616;;;;;
FPB_YT;20/09/2018 04:32;0;0;Nope! #kavanaugh #ConfirmKavanaugh #HimToo https:// twitter.com/ddwiese/status /1042123589309222912 …;;;#kavanaugh #ConfirmKavanaugh #HimToo;1,0426E+18;https://twitter.com/FPB_YT/status/1042602457161859075;;;;;
BXToDaHeart;20/09/2018 03:49;0;0;#MarkCuban is such a fuckin' phony, but because he has money, people will still follow him. #HimToo #Resist;;;#MarkCuban #HimToo #Resist;1,04259E+18;https://twitter.com/BXToDaHeart/status/1042591645110284291;;;;;
Shadowcat22;20/09/2018 03:46;0;0;The #HimToo Movement. A counterbalance to the #MeToo Movement.;;;#HimToo #MeToo;1,04259E+18;https://twitter.com/Shadowcat22/status/1042590825891471360;;;;;
DesignMissLuann;20/09/2018 03:35;0;1;I support you. #HimToo;;;#HimToo;1,04259E+18;https://twitter.com/DesignMissLuann/status/1042587945738350593;;;;;
TheRealBlueWren;20/09/2018 03:22;0;0;I saw her touch him too. #himtoo;;;#himtoo;1,04258E+18;https://twitter.com/TheRealBlueWren/status/1042584872198406144;;;;;
SpeakeasyJames;20/09/2018 03:18;3;3;"What an arrogant jackass. Trudeau trades in empty virtue signals that do not apply to himself; abject hypocrisy. #SaveCanada #TrudeauGroper must go in 2019, yes #HimToo #cdnpoli #onpoli #bcpoli https:// twitter.com/CBCKatie/statu s/1041837556869083137 …";;;#SaveCanada #TrudeauGroper #HimToo #cdnpoli #onpoli #bcpoli;1,04258E+18;https://twitter.com/SpeakeasyJames/status/1042583647218483200;;;;;
usacsmret;20/09/2018 03:07;0;0;Breaking: #HimToo at the NYRB https://www. powerlineblog.com/archives/2018/ 09/breaking-himtoo-at-the-nyrb.php?utm_source=twitter&utm_medium=sw&utm_campaign=sw … via @powerlineUS;;@powerlineUS;#HimToo;1,04258E+18;https://twitter.com/usacsmret/status/1042581055180550145;;;;;
Gerardbarton;20/09/2018 02:50;0;2;Why did she rape that cab driver? #himtoo;;;#himtoo;1,04258E+18;https://twitter.com/Gerardbarton/status/1042576615727882241;;;;;
NorCalCrush;20/09/2018 02:47;0;0;Breaking: #HimToo at the NYRB https://www. powerlineblog.com/archives/2018/ 09/breaking-himtoo-at-the-nyrb.php?utm_source=twitter&utm_medium=sw&utm_campaign=sw …;;;#HimToo;1,04258E+18;https://twitter.com/NorCalCrush/status/1042576005863358464;;;;;
