,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
0,2014/01/01,0,#himtoo,"4,18515E+17",@DylanStorey10,https://twitter.com/taneishashanaya/status/418515312808456192,0,Dylan,taneishashanaya
2,2014/01/17,0,#himtoo #wtg,"4,24076E+17",,https://twitter.com/thequeenspeeech/status/424076283761266688,0,hate sometimes Shoulda made move,thequeenspeeech
3,2014/01/20,0,#MCM #jk #himtoo,"4,25312E+17",,https://twitter.com/Skyyyylerr/status/425312363664125953,0,Not Kerik Just arms kerikcrouse http instagramcompjZfiKSBO6u,Skyyyylerr
4,2014/01/25,6,#ManCrushMondays #SexySaturdays #HimSoSexy #HimToo,"4,27174E+17",,https://twitter.com/taeheckard/status/427173538471366656,2,Since missed heres pic … http instagramcompjmt5izxD3,taeheckard
5,2014/01/26,1,#sohot #himtoo,"4,27292E+17",@SampHicks,https://twitter.com/drealouise55/status/427292448420016128,0,turned quite Mr Fixit must say dig Yay dishwasher,drealouise55
6,2014/01/29,0,#ManCrushMondays #SexySaturdays #HimSoSexy #HimToo,"4,2864E+17",@Nelly_Mo @taeheckard,https://twitter.com/lyfeofash/status/428639500105818112,0,Thats “ Since missed heres pic … http Instagramcompjmt5izxD3 ”,lyfeofash
7,2014/01/29,1,#ManCrushMondays #WonderfulWednesday #HimSoSexy #HimToo,"4,28624E+17",@taeheckard,https://twitter.com/FuckBeinFamous/status/428623806480252928,1,“ Since missed heres pic … pictwittercomjLfFtemTPc,FuckBeinFamous
8,2014/01/31,0,#himToo,"4,29243E+17",@MensHumor @bcbala7981 @tifikat,https://twitter.com/d_elli/status/429243451951968256,0,rofl,d_elli
9,2014/02/01,1,#prayforme #himtoo,"4,29492E+17",,https://twitter.com/kayfree_09/status/429492137596420096,0,Lyn worries much Always getting injured First breaks back flips truck battery acid burns,kayfree_09
11,2014/02/13,0,#sosweet #thecupcake #himtoo,"4,34035E+17",,https://twitter.com/Moforbes/status/434035235081027584,0,Little early Valentines Day delivery thaaaanks Henrick pictwittercomoIQUF4Eb3q,Moforbes
12,2014/02/17,0,#HimToo,"4,353E+17",@_FOOLY_,https://twitter.com/WallsG74/status/435300345238265856,1,Walls family thick GO HELL,WallsG74
13,2014/02/19,1,#iLoveIt #HimToo #NarclepsyDontKeepHimDown,"4,36195E+17",,https://twitter.com/SilverSignalBih/status/436195243684552704,0,thought grady gay nah hes mad weird,SilverSignalBih
14,2014/02/23,0,#HimToo,"4,3742E+17",@_MeganGalore @its_rell_bitch,https://twitter.com/CindaFUKNrella_/status/437420076548243456,0,“ “ He got ta stop playin give sum vagina ” oh ”,CindaFUKNrella_
15,2014/02/23,0,#forgotdiesel #himtoo,"4,37485E+17",@Peaugh,https://twitter.com/JohnDoctorKent/status/437485242900045824,0,review pushed Id added Grindrod hes sold everywhere,JohnDoctorKent
16,2014/02/26,0,#HimToo,"4,38473E+17",,https://twitter.com/WhyYouHateMJ/status/438473152042000384,0,thought hearing things hear sis bf playings puzzles lol,WhyYouHateMJ
18,2014/03/03,1,#himtoo,"4,40314E+17",,https://twitter.com/sarahjbarnett/status/440313717188608000,0,My son got cast leg today brave bought icecream afterward,sarahjbarnett
19,2014/03/04,1,#himtoo,"4,40666E+17",@marifel @kiwi_outlander @LoriMacc,https://twitter.com/eclectic_techie/status/440665865726328832,0,feel sorry first DONT know REALLY happened Why AJ homewrecker Takes,eclectic_techie
21,2014/03/06,0,#himtoo,"4,41467E+17",@alayahjanaee,https://twitter.com/cocainecourt_/status/441467248138395648,0,uhhhhhhh think makes sense,cocainecourt_
22,2014/03/11,0,#JcoleIsLife #himtoo,"4,43216E+17",@UncleSauce2 @Caiaxvci,https://twitter.com/Caiaxvci/status/443215655824023552,0,“ ” pictwittercomxUdZqmXGE8,Caiaxvci
23,2014/03/11,0,#uglypic #ohwell #whenducklipsgowrong #happyBirthdaytome #himtoo,"4,43283E+17",,https://twitter.com/HoneyKryptonite/status/443283421264351232,0,… http instagramcomplZLha3Kntm,HoneyKryptonite
24,2014/03/15,0,#OutsideCounsel #HimToo,"4,44656E+17",@perrynoble @PastorMark,https://twitter.com/PajamaPages/status/444656200722808832,0,You know whos happiest see story Result Source,PajamaPages
25,2014/03/17,0,#himtoo #investing #back #people #soproud #refugee #education #music #teacher #drums,"4,45564E+17",,https://twitter.com/leptitbatteur/status/445563984067186688,0,… http instagramcomplpY59btuoh,leptitbatteur
27,2014/03/21,0,#HimToo,"4,47121E+17",,https://twitter.com/InessD26/status/447121237366804480,0,2222 Pensé aux gars qui vont ce mettre une race ce soir sans moi,InessD26
28,2014/03/24,0,#SplashBrothers #CantBeatUs #ImTheShooter #HimToo #MeetUsAtTheY #WeDontLose,"4,47926E+17",@kingDiamondd_,https://twitter.com/LancePerodin/status/447925588217430016,0,Me real,LancePerodin
29,2014/03/24,0,#SplashBrothers #CantBeatUs #ImTheShooter #HimToo #MeetUsAtTheY #WeDontLose,"4,47926E+17",@LancePerodin @kingDiamondd_,https://twitter.com/kingDiamondd_/status/447925824340373504,0,“ Me real ”,kingDiamondd_
31,2014/03/28,0,#istillloveher #himtoo,"4,49588E+17",,https://twitter.com/Saturday7Times/status/449588243928195072,0,Someone stole wife ’ credit card ’ repo ’ spending less month,Saturday7Times
32,2014/03/29,0,#himtoo,"4,50027E+17",@hemigod1 @EdmontonJack @PLeonardNYDN,https://twitter.com/JamesGronau/status/450027275115704320,0,Anyone Rangers needs first NHL goal,JamesGronau
33,2014/03/29,0,#saturdayevening #family #himtoo #,"4,49903E+17",,https://twitter.com/nabilaaahh_/status/449903090884681729,0,http instagramcompmIOGlml1qj,nabilaaahh_
34,2014/03/29,0,#blurry #iwokeuplikethis #himtoo #curls,"4,49938E+17",,https://twitter.com/ThenSimoneSaid/status/449938242063056896,0,http instagramcompmIeFnwEy46,ThenSimoneSaid
35,2014/04/01,0,#himtoo #theweeknd,"4,50856E+17",,https://twitter.com/myss_shan/status/450855818792288256,0,Love dude http instagramcompmOWo0rqVc,myss_shan
36,2014/04/01,0,#Repost #TheresAnAppForThat #ISeeYou #HimToo #PartyOverHere #ThisTheSpot #ImEverywhereYouAintNeverThere,"4,50973E+17",,https://twitter.com/KevLombardi_4/status/450973381937360896,0,http instagramcompmP00ISRl1e,KevLombardi_4
37,2014/04/03,0,#lovehim #himtoo,"4,51781E+17",,https://twitter.com/myss_shan/status/451780657073905664,0,Nobody http instagramcompmVj69yLqZn,myss_shan
38,2014/04/07,1,#WeBoffKnowDat #HimToo #CareButDontCare,"4,53012E+17",,https://twitter.com/_HeavyHuncho/status/453011827547713536,0,Fuck real itll come back,_HeavyHuncho
40,2014/04/19,1,#HimToo #cdnpoli,"4,5753E+17",,https://twitter.com/LuvLaffen/status/457529857648238592,2,If prime minister going make wife pa campaign ought buy lessons grace decorum,LuvLaffen
41,2014/04/19,0,#sotrue #himtoo #gottalovethoseraffertys,"4,57638E+17",,https://twitter.com/j0anieb0l0gna/status/457638378104565761,0,Just told Matt wish Kevin,j0anieb0l0gna
42,2014/04/20,0,#himtoo,"4,57654E+17",@myunclescotty,https://twitter.com/myunclescotty/status/457653830390255616,0,Yul Brynner,myunclescotty
43,2014/04/21,0,#puppylove #ridiculous #makesherhappy #himtoo,"4,58263E+17",,https://twitter.com/kathihorn/status/458262787131981824,0,He ALWSYS gets spoiled Morgan town … http instagramcompnDnptTjiWV,kathihorn
45,2014/04/27,0,#wettingmypants #himtoo,"4,60316E+17",@michaelbuble,https://twitter.com/Claire_Payne24/status/460315709684191232,0,Met peh Well woh 8hr wait,Claire_Payne24
46,2014/04/29,0,#Himtoo,"4,61085E+17",@sashaphils2 @harrietagbenyi,https://twitter.com/luchyl_R/status/461085245421678592,0,plus average barely think safe say Prof Nubi wants average,luchyl_R
47,2014/04/29,0,#killmenow #himtoo #ew #stahp #ineedtoleave,"4,61138E+17",,https://twitter.com/TheOther_G/status/461138033795153920,0,My professor said naughty,TheOther_G
48,2014/05/03,0,#marilynmonroe #himtoo #justlosethetwathat,"4,62354E+17",,https://twitter.com/defaultdani/status/462354395288838145,0,Girl crushin girls pharrells new video,defaultdani
49,2014/05/03,0,#himtoo,"4,6267E+17",@amandahowlett91,https://twitter.com/LouisaOrford/status/462669856064958464,0,YUSSS,LouisaOrford
50,2014/05/10,0,#stiffleg #checkthatguysanlkes #himtoo #packers #madden #nfl #omgbob #gamer #football #comedy,"4,65185E+17",,https://twitter.com/PoolPartyStu/status/465184694418812929,0,Omg Bob … http instagramcompn0zXyAjPO,PoolPartyStu
51,2014/05/11,0,#himtoo #awko,"4,65534E+17",@missmandiie,https://twitter.com/requiemmm/status/465533734687879168,0,ughhh gross beer thanks mang got ta make look cute Got hangouts pup tomorrow,requiemmm
52,2014/05/21,0,#3yearslater #himtoo,"4,68992E+17",,https://twitter.com/Tiffany_N_22/status/468992041490591745,0,hear kid cudi flashbacks another time another life even,Tiffany_N_22
53,2014/05/21,1,#thenhaber #himtoo,"4,69148E+17",,https://twitter.com/lilac_pixxie/status/469147985981755392,0,Brogan reason Im legitimately sad right She one really year,lilac_pixxie
54,2014/05/23,5,#misshernow #himtoo,"4,69715E+17",@RJHardy,https://twitter.com/jwhittalTWN/status/469714607687233537,0,Been chasing weekmy hubby sent pic beautiful doggy Symphony pictwittercoms9ZMXhwsOS,jwhittalTWN
