,date,favorites,hashtags,id,mentions,permalink,retweets,text,username
155,2016/02/11,1,#manyfeelings #himtoo,"6,97689E+17",@janabeautyangel,https://twitter.com/ElisaDorelli/status/697689110803255296,0,jaaaanaaaaa stttteeeeeveeeeeenooooonot early morningyeeeessss,ElisaDorelli
156,2016/02/21,0,#MadamPresident #VPSanders #ImWithHer #HimToo,"7,01416E+17",,https://twitter.com/sherickaadams/status/701415735088775168,0,would love see ClintonSanders ballot https twittercomchicagotribune status701034173524537345 …,sherickaadams
157,2016/02/24,4,#imwithher #himtoo,"7,02558E+17",@hillaryclinton @atuozzolo,https://twitter.com/AustinLavin/status/702558260449050624,0,Proud vote pictwittercomrzvFrgLxtC,AustinLavin
158,2016/03/01,0,#Politics #Campaign2016 #SheGottaGO #HimToo,"7,04712E+17",,https://twitter.com/YULANDAJONES/status/704711756787163136,0,We settled Leaders cont http tlgdnm0f07,YULANDAJONES
159,2016/03/03,0,#MakeItGoAway #HimToo,"7,05453E+17",,https://twitter.com/confuzled/status/705453084135317505,0,https twittercomSInowstatus7 05449903510659073 …,confuzled
160,2016/05/14,1,#imwithher #himtoo #icon,"7,31509E+17",@repjohnlewis @HillaryClinton,https://twitter.com/NeilPople/status/731508656999518209,0,Beyond stoked meet today Sacramento office opening,NeilPople
161,2016/05/23,1,#HimToo #AndHim,"7,34794E+17",,https://twitter.com/DouYa_11/status/734794116484079616,0,Im convinced Empires sole propose slowly break public everyone music industry gay,DouYa_11
162,2016/05/24,0,#heartbroken #Os #IBackTheBirds #himtoo #ItrustDaddyBuck,"7,35076E+17",@Orioles,https://twitter.com/Shavonne191920/status/735076072115474432,0,Matusz Why didnt someone tell You know dont like change,Shavonne191920
163,2016/05/25,1,#ThanksObama #HimToo #MakeAmericaGreatAgain #ShorterGamesStartOnTime #Sarcasm,"7,35292E+17",@tssaa,https://twitter.com/JSEditorBrandon/status/735292092872806400,0,Im fine blaming https twittercommossyoakbryan status735291584812453888 …,JSEditorBrandon
164,2016/06/10,0,#money #goals #igetwhatiwant #himtoo,"7,4134E+17",,https://twitter.com/xofr33baybi3ox/status/741339637319368704,0,When realize time youre soon nap dates cuddle sessions Fuck,xofr33baybi3ox
165,2016/06/12,0,#cheesygrin #himtoo #mrpickle,"7,42106E+17",@One,https://twitter.com/clews_peter/status/742105775653441541,0,Tree Hill New Zealand httpswww instagramcompBGkcf9LA8,clews_peter
166,2016/06/13,0,#Himtoo,"7,42449E+17",,https://twitter.com/Mags_Shivanda/status/742449320738295808,0,Im typical child enjoying peace lol,Mags_Shivanda
167,2016/06/14,0,#HimToo,"7,42491E+17",,https://twitter.com/Mamzelle514/status/742490649459593218,0,https twittercomrobby305statu s742489859940618240 …,Mamzelle514
168,2016/06/21,2,#HimToo,"7,45025E+17",,https://twitter.com/JasonFeeback/status/745024880853164032,0,Carnie talking phone Carnie chopped asked Arbys guy wanted pay,JasonFeeback
169,2016/07/09,1,#blacklivesmatter #himtoo,"7,51789E+17",,https://twitter.com/MrPUSS1987/status/751789166325673986,0,wonder woman Mr puss needs atl After rise cant let pretty face get hu Tell brick,MrPUSS1987
170,2016/07/10,28,#forgotaboutthatone #himtoo,"7,51948E+17",,https://twitter.com/emilymcdowell_/status/751947900347772928,1,Twitter gon na stop suggesting follow people went one date years ago,emilymcdowell_
171,2016/07/14,1,#HimToo,"7,53497E+17",,https://twitter.com/seanvatoflaco/status/753496540484767744,0,He said music Oscar Grouch yet called Gucci Mane GOAT disrespect Im way better,seanvatoflaco
173,2016/07/23,0,#ImWithHer #HimToo #ClintonKaine2016,"7,56651E+17",@HillaryClinton @timkaine,https://twitter.com/TheRealRamonabd/status/756651074434404352,0,Great pick Yeah Yeah,TheRealRamonabd
174,2016/07/23,0,#ImWithHer #HimToo,"7,56912E+17",,https://twitter.com/johnnydioso/status/756912244991156225,0,Big Daddy Kaine https twittercomguardianstatu s756910653152038914 …,johnnydioso
175,2016/07/23,1,#ImWithHer #Himtoo,"7,56932E+17",,https://twitter.com/BryceMendez/status/756931872752558080,0,By picking runningmate spanishspeaker slam dunk DNC sealed deal latino vote,BryceMendez
176,2016/07/24,0,#myfavorite #himtoo,"7,57021E+17",,https://twitter.com/Mrs_Curie/status/757020623503851520,0,At home sushi date guy httpswww instagramcompBIOaKKDL3pG jWo2UcYAMCNy9DYzSV1gmGc0 …,Mrs_Curie
177,2016/07/28,4,#DemsInPhilly #ImWithHer #himtoo,"7,58427E+17",@HFA @TomDangora,https://twitter.com/trvdith/status/758427138970222592,0,When friend literally became Twitters agree gif pictwittercomZeT5cs7CI5,trvdith
179,2016/08/18,9,#kitten #MeHappy #HimToo,"7,66339E+17",,https://twitter.com/AnneBlondel/status/766339246445789185,0,There new guy town Found pictwittercoml2s1hhKWdD,AnneBlondel
181,2016/09/05,0,#himtoo,"7,72664E+17",,https://twitter.com/cruiserlan/status/772664205984096257,0,So citizens USA electing two evils best option pave way submission KSA https twittercomjordanchariton status772568788524998658 …,cruiserlan
182,2016/09/11,0,#FantasyFootball #NFL #Ihavehimonmyfantasyteam #Himtoo #Allofthem,"7,7504E+17",,https://twitter.com/BrendanWJBF/status/775040083179085824,0,First time Ive ever different teams Its officially one many,BrendanWJBF
183,2016/09/14,0,#treatherlikeahuman #himtoo,"7,76134E+17",,https://twitter.com/kaustinstem/status/776134435372724224,0,And gender inequalities continue https twittercomhuffingtonpost status776116057039835136 …,kaustinstem
184,2016/09/19,3,#baes #pizza #myman #dreamboat #himtoo,"7,77933E+17",,https://twitter.com/kdperrotta/status/777933278519169024,0,So many one gram … httpswww instagramcompBKjA9dMjT4iM RgyYcrcIqK6jJJQbrHOfk99Zw0 …,kdperrotta
185,2016/10/04,0,#HisWords #HimToo,"7,83402E+17",,https://twitter.com/YourStankMule/status/783401923827343364,0,CB doesnt want get Jewed Down SO dont stingy Indian Giver VOTE CB EVICTION 5pm edt 2day,YourStankMule
186,2016/10/04,0,#HisWords #HimToo,"7,834E+17",,https://twitter.com/YourStankMule/status/783400132863721472,0,CB doesnt want get Jewed Down SO dont stingy Indian Giver VOTE CB EVICTION 5pm edt 2day,YourStankMule
187,2016/10/09,0,#ImWithHer #HimToo,"7,85152E+17",@,https://twitter.com/NeilPople/status/785152045703581696,0,Helping Sacramento welcome Senator Tim Kaine next Vice President … httpswww instagramcompBLWTrJBhMj,NeilPople
188,2016/10/09,2,#ImWithHer #HimToo,"7,85219E+17",@timkaine,https://twitter.com/NeilPople/status/785219361715871744,1,met AWESOME Talk sma kind gracious leader Sacramento welcomes,NeilPople
189,2016/10/14,0,#LockHerUp #HimToo #HesWithHer,"7,86757E+17",,https://twitter.com/Matthew928/status/786757367031537664,0,Imagine That https twittercom74f5c728e7d446 dstatus756721942619709440 …,Matthew928
190,2016/10/14,0,#GrandmaDotty #ImWithHer #HimToo,"7,86953E+17",,https://twitter.com/jwlucasnc/status/786953007703461888,0,Consulted put signs http lniswwwinstagram compBtauX …,jwlucasnc
193,2016/10/21,0,#lockherup #himtoo,"7,89442E+17",,https://twitter.com/RedStateWitch/status/789441713206992896,1,Comprehensive documentary high crimes misdemeanors Clinton crime family thru 90s httpswww youtubecomembedBPX1Gi E3Q …,RedStateWitch
194,2016/10/21,0,#himtoo,"7,89562E+17",@realDonaldTrump,https://twitter.com/BlueInRedID/status/789562363074654209,0,That moment requests statements SM posts included coming TrumpU case,BlueInRedID
195,2016/10/29,0,#lockherup #himtoo,"7,92286E+17",@judicialwatch @wikileaks,https://twitter.com/Cruzysmama623/status/792286190061834240,0,Comes simple questionWHO AUTHORIZED USE OF THE SERVERAsked Judge Emmet Sullivan,Cruzysmama623
196,2016/11/02,0,#Spotlight #HimToo,"7,93928E+17",,https://twitter.com/SignMeUppodcast/status/793928176548220928,0,brand new episode addition THREE whole episodes last week find https soundcloudcomsignmeup,SignMeUppodcast
197,2016/11/02,1,#HimToo,"7,93909E+17",,https://twitter.com/SignMeUppodcast/status/793909294575955968,0,souljaaa boy tell em https soundcloudcomsignmeuphim …,SignMeUppodcast
198,2016/11/02,0,#PodsIn #PodsinColor #PodernFamily #HimToo,"7,93841E+17",,https://twitter.com/SignMeUppodcast/status/793841346645721089,3,wholeee new episodeeee lmao https soundcloudcomsignmeuphim …,SignMeUppodcast
199,2016/11/02,0,#HimToo,"7,93867E+17",,https://twitter.com/SignMeUppodcast/status/793866513870622720,0,fucking multiple guys overwhelming lmao https soundcloudcomsignmeuphim …,SignMeUppodcast
200,2016/11/03,1,#HimToo,"7,94208E+17",,https://twitter.com/SignMeUppodcast/status/794207521669943296,0,new day new dawn lmao new episodeeee im feeling goood https soundcloudcomsignmeuphim …,SignMeUppodcast
201,2016/11/03,0,#HimToo,"7,94264E+17",,https://twitter.com/SignMeUppodcast/status/794264134166548480,0,pass dutchy pon de left hand side https soundcloudcomsignmeuphim …,SignMeUppodcast
202,2016/11/03,0,#HimToo,"7,94282E+17",,https://twitter.com/SignMeUppodcast/status/794281750226726912,0,dream guy look like https soundcloudcomsignmeuphim …,SignMeUppodcast
203,2016/11/03,1,#HimToo,"7,94306E+17",,https://twitter.com/SignMeUppodcast/status/794305683898236928,1,Brine mothafuckaaa https soundcloudcomsignmeuphim …,SignMeUppodcast
204,2016/11/04,0,#HimToo,"7,946E+17",,https://twitter.com/SignMeUppodcast/status/794600114526494720,0,check weeks episode talking Scorpios like dont really like https soundcloudcomsignmeuphim …,SignMeUppodcast
205,2016/11/05,0,#HimToo,"7,94678E+17",,https://twitter.com/SignMeUppodcast/status/794678111010844672,0,strip clubs feeling lol https soundcloudcomsignmeuphim …,SignMeUppodcast
206,2016/11/07,0,#HimToo,"7,95672E+17",,https://twitter.com/SignMeUppodcast/status/795672185515872256,1,talking shit per usual https soundcloudcomsignmeuphim …,SignMeUppodcast
207,2016/11/07,1,#Beyonce #HimToo,"7,95755E+17",,https://twitter.com/SignMeUppodcast/status/795755219195981824,0,yall like cute lil sexy intro music lmaoo https soundcloudcomsignmeuphim …,SignMeUppodcast
