|date|text|hashtags|processed_text
641|2016-02-11|@janabeautyangel jaaaanaaaaa stttteeeeeveeeeee..nooooo....not so early in the morning..yeeeessss #manyfeelings #himtoo|#manyfeelings #himtoo|jaaaanaaaaa stttteeeeeveeeeee..nooooo ... .not so early in the morning..yeeeessss
642|2016-02-21|I would love to see a Clinton/Sanders ballot! #MadamPresident #VPSanders #ImWithHer & #HimToo https:// twitter.com/chicagotribune /status/701034173524537345 …|#madampresident #vpsanders #imwithher #himtoo|would love to see clinton ballot ! & chicagotribune
643|2016-02-24|Proud to vote for @hillaryclinton and @atuozzolo ! #imwithher #himtoo pic.twitter.com/rzvFrgLxtC|#imwithher #himtoo|proud to vote for and !
644|2016-03-01|#Politics #Campaign2016 #SheGottaGO ( #HimToo ) We should not be settled to have Leaders which (cont) http:// tl.gd/nm0f07|#politics #campaign2016 #shegottago #himtoo|( ) we should not be settle to have leaders which ( cont )
645|2016-03-03|#MakeItGoAway #HimToo https:// twitter.com/SInow/status/7 05449903510659073 …|#makeitgoaway #himtoo|sinow
646|2016-05-14|Beyond stoked to meet @repjohnlewis today at the Sacramento @HillaryClinton office opening! #imwithher #himtoo #icon|#imwithher #himtoo #icon|beyond stoke to meet today at the sacramento office open !
647|2016-05-23|I'm convinced Empire's sole propose is to slowly break it to the public that everyone in the music industry is gay. #HimToo ? #AndHim ?|#himtoo #andhim|' convince empire ' sole propose be to slowly break it to the public that everyone in the music industry be gay . ? ?
648|2016-05-24|Matusz!!!! Why didn't someone tell me!?!?!! #heartbroken #Os #IBackTheBirds #himtoo #ItrustDaddyBuck @Orioles You know I don't like change.|#heartbroken #os #ibackthebirds #himtoo #itrustdaddybuck|matusz ! ! ! ! why didn ' someone tell me ! ? ! ? ! ! you know don ' like change .
649|2016-05-25|I'm fine blaming the @tssaa for this. #ThanksObama #HimToo #MakeAmericaGreatAgain #ShorterGamesStartOnTime #Sarcasm https:// twitter.com/mossyoakbryan/ status/735291584812453888 …|#thanksobama #himtoo #makeamericagreatagain #shortergamesstartontime #sarcasm|' fine blame the for this . mossyoakbryan/ status
650|2016-06-10|When you realize the only time you're about to have soon is for nap dates & cuddle sessions. Fuck it. #money #goals #igetwhatiwant #himtoo|#money #goals #igetwhatiwant #himtoo|when you realize the only time you 're about to have soon be for nap date & cuddle sessions . fuck it .
651|2016-06-12|#cheesygrin #himtoo #mrpickle @One Tree Hill (New Zealand) https://www. instagram.com/p/BGkcf9LA_8-/|#cheesygrin #himtoo #mrpickle|tree hill ( new zealand ) /
652|2016-06-13|I'm such a typical only child.. so enjoying my peace.. lol .. #Himtoo|#himtoo|' such typical only child.. so enjoy my peace.. lol ..
654|2016-06-21|Carnie was talking on the phone. Carnie chopped her. I asked the Arby's guy if he wanted me to pay. #HimToo|#himtoo|carnie be talk on the phone . carnie chop her . ask the arby ' guy if he want me to pay .
655|2016-07-09|wonder woman. Mr puss needs you in atl... After our rise. #blacklivesmatter can't let that pretty face get hurt. Tell brick #himtoo|#blacklivesmatter #himtoo|wonder woman . mr puss need you in atl ... after our rise . can ' let that pretty face get hurt . tell brick
656|2016-07-10|Twitter if we're gonna do this, you have to stop suggesting I follow people I went on one date with 8 years ago. #forgotaboutthatone #himtoo|#forgotaboutthatone #himtoo|twitter if we 're gon na do this , you have to stop suggest follow people go on one date with years ago .
657|2016-07-14|"He said my music is on ""Oscar the Grouch"", yet he called Gucci Mane the GOAT... no disrespect, but I'm way better than both of you #HimToo"|#himtoo|he say my music be on `` oscar the grouch '' , yet he call gucci mane the goat ... no disrespect , but ' way better than both of you
659|2016-07-23|Great pick @HillaryClinton <----- #ImWithHer & #HimToo ------> @timkaine Yeah Yeah #ClintonKaine2016|#imwithher #himtoo #clintonkaine2016|great pick < -- -- - & -- -- -- > yeah yeah
660|2016-07-23|Big Daddy Kaine! #ImWithHer #HimToo https:// twitter.com/guardian/statu s/756910653152038914 …|#imwithher #himtoo|big daddy kaine ! guardian
661|2016-07-23|By picking a running-mate who is a spanish-speaker. . . slam dunk for the DNC and sealed the deal for the latino vote. #ImWithHer #Himtoo|#imwithher #himtoo|by pick who be . . . slam dunk for the dnc and seal the deal for the latino vote .
662|2016-07-24|At home sushi date with this guy! #myfavorite #himtoo https://www. instagram.com/p/BIOa_KKDL3pG -jWo2UcY_AMCNy9DY_zSV1gmGc0/ …|#myfavorite #himtoo|at home sushi date with this guy ! /
663|2016-07-25|#HimToo https:// twitter.com/reddlitespecia l/status/757545522941063168 …|#himtoo|reddlitespecia
664|2016-07-28|When your friend from @HFA literally became Twitter's agree gif #DemsInPhilly #ImWithHer #himtoo @TomDangora pic.twitter.com/ZeT5cs7CI5|#demsinphilly #imwithher #himtoo|when your friend from literally become twitter ' agree gif
666|2016-08-18|There s a new guy in town. Found myself a #kitten #MeHappy #HimToo pic.twitter.com/l2s1hhKWdD|#kitten #mehappy #himtoo|there new guy in town . find myself
668|2016-09-05|So citizens of USA, electing any of the two evils is best option to pave way for your submission to KSA #himtoo https:// twitter.com/jordanchariton /status/772568788524998658 …|#himtoo|so citizens of usa , elect any of the two evils be best option to pave way for your submission to ksa jordanchariton
669|2016-09-11|First time I've ever had 3 different #FantasyFootball teams. It's officially one too many #NFL #Ihavehimonmyfantasyteam #Himtoo #Allofthem|#fantasyfootball #nfl #ihavehimonmyfantasyteam #himtoo #allofthem|first time 've ever have different team . it ' officially one too many
670|2016-09-14|And the gender inequalities continue... #treatherlikeahuman #himtoo https:// twitter.com/huffingtonpost /status/776116057039835136 …|#treatherlikeahuman #himtoo|and the gender inequalities continue ... huffingtonpost
671|2016-09-19|So many #baes in one gram. #pizza #myman #dreamboat #himtoo … https://www. instagram.com/p/BKjA9dMjT4iM Rg-yYcrcIqK6jJJQbrHOfk99Zw0/ …|#baes #pizza #myman #dreamboat #himtoo|so many in one gram . /
672|2016-10-04|"CB doesn't want to get ""Jewed Down"" #HisWords SO, don't be stingy! or be an ""Indian Giver"" #HimToo VOTE CB for EVICTION! 5pm edt 2day!"|#hiswords #himtoo|cb doesn ' want to get `` jewed down '' so , don ' be stingy ! or be an `` indian giver '' vote cb for eviction ! edt !
673|2016-10-04|"CB doesn't want to get ""Jewed Down"" #HisWords SO, don't be stingy! or be an ""Indian Giver"" #HimToo VOTE CB for EVICTION! 5pm edt 2day! (2)"|#hiswords #himtoo|cb doesn ' want to get `` jewed down '' so , don ' be stingy ! or be an `` indian giver '' vote cb for eviction ! edt ! ( )
674|2016-10-09|Helping Sacramento welcome Senator Tim Kaine, our next Vice President! #ImWithHer #HimToo @… https://www. instagram.com/p/BLWTrJ_BhMj/|#imwithher #himtoo|help sacramento welcome senator tim kaine , our next vice president ! /
675|2016-10-09|I just met @timkaine ... and it was AWESOME! Talk about a smart, kind and gracious leader! Sacramento welcomes you! #ImWithHer #HimToo|#imwithher #himtoo|just meet ... and it be awesome ! talk about smart , kind and gracious leader ! sacramento welcome you !
676|2016-10-14|Consulted with #GrandmaDotty on where to put our signs. #ImWithHer #HimToo http:// ln.is/www.instagram. com/p/BtauX …|#grandmadotty #imwithher #himtoo|consult with on where to put our sign . www.instagram . com
679|2016-10-21|Comprehensive documentary of high crimes & misdemeanors of Clinton crime family up thru the 90s. #lockherup #himtoo https://www. youtube.com/embed/BPX1G--i E3Q …|#lockherup #himtoo|comprehensive documentary of high crimes & misdemeanors of clinton crime family up thru the . embed
680|2016-10-21|That moment when @realDonaldTrump requests all of his statements and SM posts not be included in the coming TrumpU case. #himtoo|#himtoo|that moment when request all of his statements and sm post not be include in the come trumpu case .
681|2016-10-29|"Comes down to 1 simple question""WHO AUTHORIZED USE OF THE SERVER?""Asked Judge Emmet Sullivan @judicialwatch #lockherup #himtoo @wikileaks"|#lockherup #himtoo|come down to simple question '' who authorize use of the server ? `` ask judge emmet sullivan
682|2016-11-02|souljaaa boy tell em. #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|souljaaa boy tell em . too
683|2016-11-02|its a brand new episode.. in addition to THREE whole episodes last week! find them all in the #Spotlight !! #HimToo https:// soundcloud.com/sign-me-up|#spotlight #himtoo|its brand new episode.. in addition to three whole episodes last week ! find them all in the ! !
684|2016-11-02|fucking multiple guys.. its overwhelming lmao #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|fuck multiple guys.. its overwhelm lmao too
685|2016-11-02|a wholeee new episodeeee !! lmao #PodsIn #PodsinColor #PodernFamily #HimToo https:// soundcloud.com/sign-me-up/him too …|#podsin #podsincolor #podernfamily #himtoo|wholeee new episodeeee ! ! lmao too
686|2016-11-03|its a new day.. its a new dawn.. lmao a new episodeeee.. and im feeling goood #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|its new day.. its new dawn.. lmao new episodeeee.. and im feel goood too
687|2016-11-03|pass the dutchy pon de left hand side.. #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|pass the dutchy pon de leave hand side.. too
688|2016-11-03|what does your dream guy look like? #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|what do your dream guy look like ? too
689|2016-11-03|Brine that mothafuckaaa #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|brine that mothafuckaaa too
690|2016-11-04|check out this week's episode.. we're talking about who Scorpios like don't really like.. #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|check out this week ' episode.. we 're talk about who scorpios like don ' really like.. too
691|2016-11-05|strip clubs? how we feeling ? lol #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|strip club ? how we feel ? lol too
692|2016-11-07|yall like our cute lil sexy intro music?? lmaoo #Beyonce #HimToo https:// soundcloud.com/sign-me-up/him too …|#beyonce #himtoo|yall like our cute lil sexy intro music ? ? lmaoo too
693|2016-11-07|talking that shit per usual... #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|talk that shit per usual ... too
694|2016-11-08|for a little election day respite... #HimToo https:// soundcloud.com/sign-me-up/him too …|#himtoo|for little election day respite ... too
695|2016-11-12|just read that NewtGingrich wants to set up a UnamericanActivitiesBoard... #himtoo|#himtoo|just read that newtgingrich want to set up ...
696|2016-11-21|People copy/paste, bc originality takes too much effort. Just like a boomerang, anything that belongs to me always comes right back. #Himtoo|#himtoo|people copy , bc originality take too much effort . just like boomerang , anything that belong to me always come right back .
697|2016-12-15|see you soon bae #betyouthought #imeantnick #himtoo pic.twitter.com/yFjUt3QKah|#betyouthought #imeantnick #himtoo|see you soon bae
699|2016-12-26|I'm never gonna dance again, the way I danced with you. #toomuch #himtoo #RIP|#toomuch #himtoo #rip|' never gon na dance again , the way dance with you .
700|2017-01-01|#mylove #himtoo joseph23benedict https://www. instagram.com/p/BOtJRfWB1I8/|#mylove #himtoo|benedict /
701|2017-01-03|#HimToo https:// twitter.com/teijiMack/stat us/816166927236206592 …|#himtoo|teijimack
702|2017-01-03|. @SpeakerRyan ? #LockHimUp @SenateMajLdr ? #HimToo . cc @realDonaldTrump ◄ Lock Him Up First. & get UN arrest warrant4 #Putin @TheDemocrats|#lockhimup #himtoo #putin|. ? ? . cc ◄ lock him up first . & get un arrest
703|2017-01-05|"Mood... #missingmommy #himtoo ""and it ain't easy to walk away when a man loves somebody""- Lenny https://www. instagram.com/p/BO4jEdpAdwu/"|#missingmommy #himtoo|mood ... `` and it ain ' easy to walk away when man love somebody '' - lenny /
704|2017-01-10|.... #himtoo . pic.twitter.com/A9Lee8n0np|#himtoo|... . .
705|2017-01-16|Don't You Hate When You Look Back, See Someone, Look Back Again And Then They're Gone Like The Matrix #HimToo pic.twitter.com/YCQC5I76sc|#himtoo|don ' you hate when you look back , see someone , look back again and then they 're go like the matrix
706|2017-01-23|Lock him up. #himtoo https:// twitter.com/rvawonk/status /823367167781572609 …|#himtoo|lock him up . rvawonk
707|2017-01-26|My boy posted a pic smiling like a porchmonkey next to the 45th. #ijudgedhim . Saw another Blk Man proudly wearing a Trump 2016 cap. #himtoo|#ijudgedhim #himtoo|my boy post pic smile like porchmonkey next to the th . . saw another blk man proudly wear trump cap .
709|2017-02-28|Yes. #himtoo #ravigrupta|#himtoo #ravigrupta|yes .
710|2017-03-09|Well Played! #HimToo|#himtoo|well play !
711|2017-03-25|Democrats using diversionary tactics to delay the inevitable. The attention is coming back onto them and their failures #LockHerUp #HimToo|#lockherup #himtoo|democrats use diversionary tactics to delay the inevitable . the attention be come back onto them and their failures
713|2017-04-03|And didn't #RapistBill get $500,000 for a speech from the Russians? Influence peddling thru Clinton Foundation. #LockHerUp #HimToo https:// twitter.com/goldstarmomtx5 5/status/848857736339230721 …|#rapistbill #lockherup #himtoo|and didn ' get $ , for speech from the russians ? influence peddle thru clinton foundation .
714|2017-04-04|News described him as unpredictable, vain and vindictive with an expanding nuclear arsenal. Thought @NBCNightlyNews meant Trump. #himtoo|#himtoo|news describe him as unpredictable , vain and vindictive with an expand nuclear arsenal . think mean trump .
715|2017-04-04|Barack Obama's Minion, Susan Rice is lying Scum. #LockHerUp #HimToo ! pic.twitter.com/gncOVQLQrl|#lockherup #himtoo|barack obama ' minion , susan rice be lie scum . !
716|2017-04-14|LA divorce rate be big, Pachuco! They want you to make sure she's the one ... #himtoo|#himtoo|la divorce rate be big , pachuco ! they want you to make sure she ' the one ...
719|2017-04-23|#HimToo https:// twitter.com/UnmitigatedGau l/status/856218388473012225 …|#himtoo|unmitigatedgau
720|2017-04-24|Trump Pal Sean Hannity Accused Of Sexual Harassment As Fox News Scandal Grows via @politicususa http://www. politicususa.com/2017/04/23/tru mp-pal-sean-hannity-accused-sexual-harassment-fox-news-scandal-grows.html … #HimToo ?|#himtoo|trump pal sean hannity accuse of sexual harassment as fox news scandal grow .html ?
721|2017-05-04|Sen. Chuck Grassley plays defense for Trump, but has his own weird Russian connection #HimToo http://www. palmerreport.com/opinion/senato r-chuck-grassley-plays-defense-for-trump-but-has-his-own-weird-russian-connection/2581/ … via @PalmerReport|#himtoo|sen. chuck grassley play defense for trump , but have his own weird russian connection opinion /
723|2017-05-10|Yes, #Comey has been plugging the drain for too long. #lockherup #himtoo #draintheswamp|#comey #lockherup #himtoo #draintheswamp|yes , have be plug the drain for too long .
724|2017-05-10|You got that right! Reason why Obama was in a tizzy trying to force ppl to vote for her. #LockHerUp and #HimToo|#lockherup #himtoo|you get that right ! reason why obama be in tizzy try to force ppl to vote for her . and
725|2017-05-11|Yeah, I am one of the 8 million Canadians providing care in some capacity for aging parents. Thank heavens for my brother. #himtoo|#himtoo|yeah , be one of the million canadians provide care in some capacity for age parent . thank heavens for my brother .
726|2017-05-11|That day, I thought I could dance (full video link in bio) #queenofjookin #ADEJUNE24 #himtoo … https://www. instagram.com/p/BT7_avQjOCH/|#queenofjookin #adejune24 #himtoo|that day , think could dance ( full video link in bio ) /
727|2017-05-12|Hillary Clinton Lobbied Bangladesh PM on Behalf of Clinton Foundation Donor http:// ln.is/observer.com/2 017/05/LgOuk … #LockHerUp #HimToo|#lockherup #himtoo|hillary clinton lobby bangladesh pm on behalf of clinton foundation donor observer.com
728|2017-05-13|I'm delighted that the cyber attack is, in Hunt's view, so trivial that he doesn't feel he needs to get invovled. #anothergalaxy #himtoo https:// twitter.com/thepileus/stat us/863388372680790025 …|#anothergalaxy #himtoo|' delight that the cyber attack be , in hunt ' view , so trivial that he doesn ' feel he need to get invovled . thepileus
729|2017-06-08|This... #color #drawnewlines #elitedancestudios #beautuful #she #us #you #himtoo #colorwithlove … https://www. instagram.com/p/BVFdZHgACyv/|#color #drawnewlines #elitedancestudios #beautuful #she #us #you #himtoo #colorwithlove|this ... /
730|2017-06-10|Sweet babies. #chihuahua #himtoo https://www. instagram.com/p/BVK7ARLg9CJR 53wYtbUWzVZJoIdI1DOb8k1KII0/ …|#chihuahua #himtoo|sweet baby . /
732|2017-07-13|Wow, @realDonaldTrump , not only did your daddy hate you, but it looks like your son does too! #HisEMails ! #LockHimUp #HimToo ! #Losers #Bigly|#hisemails #lockhimup #himtoo #losers #bigly|wow , , not only do your daddy hate you , but it look like your son do too ! ! !
733|2017-07-16|#himtoo https:// twitter.com/LeviathanSass/ status/886481693162471424 …|#himtoo|leviathansass/ status
734|2017-07-23|Why are we so hard on Bernard Tomic? Sounds like he had no say over his adolescence - we are a product of our parents. I am bitter #HimToo|#himtoo|why be we so hard on bernard tomic ? sound like he have no say over his adolescence - we be product of our parent . be bitter
736|2017-07-30|Just up at 4 am watching Lord of the Rings:The Two Towers while my husband is knocked beside me. #blessed #inlove #withthismovie (; #himtoo|#blessed #inlove #withthismovie #himtoo|just up at be watch lord of the ring : the two tower while my husband be knock beside me . ( ;
737|2017-07-31|Witness below, those that would destroy EVERYTHING good about America to satisfy their own, personal greed. #LockHerUp #Himtoo https:// twitter.com/RealJamesWoods /status/891874014578315264 …|#lockherup #himtoo|witness below , those that would destroy everything good about america to satisfy their own , personal greed . realjameswoods
738|2017-08-18|#HimToo - #MLB purist fan https:// twitter.com/thecomeback/st atus/898537995350888449 …|#himtoo #mlb|- purist fan thecomeback
739|2017-08-20|@WWEGraves having a TV entrance and that pop legit got me misty eyed. #NXTTAKEOVER #himtoo|#nxttakeover #himtoo|have tv entrance and that pop legit get me misty eye .
740|2017-09-01|He didn't win them all? #BooMauer #HimToo https:// twitter.com/wintwins/statu s/903657584284094464 …|#boomauer #himtoo|he didn ' win them all ? wintwins
741|2017-09-02|@JPF01990 Don't mess with Iron Man, Amy. Of course, behind the suit, was an actor struggling with addiction issues... #HimToo|#himtoo|don ' mess with iron man , amy . of course , behind the suit , be an actor struggle with addiction issue ...
742|2017-09-13|LOL #LockHimUp #LockHimUp and #HimToo https://www. youtube.com/watch?v=WeBdI0 ciLQk …|#lockhimup #lockhimup #himtoo|lol and watch ? = cilqk
743|2017-09-18|And he's kind of manspreading too. #HimToo|#himtoo|and he ' kind of manspreading too .
745|2017-10-08|Cheers! #oldfashion #mylove #himtoo @Livery https://www. instagram.com/p/BZ9yWRGHrOu3 hK0ECKzLmK-3RLX1P1nCXiyI2Y0/ …|#oldfashion #mylove #himtoo|cheer ! /
